d1_filter,adx_gate,hurst_gate,vov_gate,rsi_div,entry,exit,partial,oos_trades,oos_total_pips,oos_avg_pips,wf_trades,wf_total_pips,wf_avg_pips
off,20,0.0,off,on,immediate,regime_flip,50pct_1R,91603,-217876.9,-2.3785,0,0.0,0.0
ema_20_50,0,0.53,off,off,pullback,regime_tighten,off,16200,-38544.16,-2.3793,5075,-8942.04,-1.762
off,0,0.53,reject_p75,off,pullback,atr_3.0,50pct_1R,23290,-55423.86,-2.3797,9396,-23342.87,-2.4843
ema_20_50,0,0.0,reject_p75,off,pullback,regime_tighten,50pct_1R,29518,-70258.09,-2.3802,0,0.0,0.0
ema_50_200,20,0.0,off,on,pullback,atr_3.0,off,20530,-48939.11,-2.3838,0,0.0,0.0
ema_50_200,0,0.0,off,on,immediate,atr_3.0,off,35113,-83795.26,-2.3864,0,0.0,0.0
off,20,0.53,reject_p75,on,immediate,atr_3.0,off,14182,-33845.49,-2.3865,5825,-16641.93,-2.857
off,20,0.53,reject_p75,off,immediate,atr_2.5,50pct_1R,15216,-36330.41,-2.3876,6259,-16532.84,-2.6415
off,20,0.53,reject_p75,off,immediate,atr_3.0,50pct_1R,15216,-36334.89,-2.3879,6259,-17878.69,-2.8565
off,20,0.0,off,off,immediate,regime_flip,50pct_1R,98913,-236322.6,-2.3892,0,0.0,0.0
off,20,0.0,off,off,immediate,regime_flip,off,98913,-236322.6,-2.3892,0,0.0,0.0
off,0,0.53,off,on,pullback,atr_2.5,off,31754,-76109.19,-2.3968,10514,-23332.38,-2.2192
ema_20_50,0,0.53,off,on,pullback,regime_tighten,50pct_1R,15389,-36938.38,-2.4003,4809,-8908.73,-1.8525
ema_50_200,25,0.0,reject_p75,off,immediate,atr_2.5,off,11158,-26834.18,-2.4049,0,0.0,0.0
off,25,0.53,reject_p75,on,pullback,atr_2.5,off,8828,-21233.53,-2.4052,3725,-9348.93,-2.5098
off,25,0.53,reject_p75,on,pullback,regime_tighten,off,8828,-21234.22,-2.4053,0,0.0,0.0
ema_20_50,25,0.53,reject_p75,off,immediate,atr_2.5,50pct_1R,5007,-12047.98,-2.4062,2085,-3940.73,-1.89
ema_50_200,0,0.0,off,off,pullback,atr_3.0,50pct_1R,35066,-84504.87,-2.4099,0,0.0,0.0
ema_20_50,0,0.0,reject_p75,on,pullback,regime_tighten,off,28028,-67551.68,-2.4101,0,0.0,0.0
ema_20_50,0,0.53,off,off,pullback,regime_tighten,50pct_1R,16200,-39111.95,-2.4143,5075,-9518.0,-1.8755
off,0,0.53,reject_p75,on,pullback,atr_2.5,50pct_1R,22150,-53506.1,-2.4156,8919,-23510.89,-2.636
off,25,0.0,off,off,immediate,regime_flip,off,66650,-161319.8,-2.4204,0,0.0,0.0
off,25,0.0,off,off,immediate,regime_flip,50pct_1R,66650,-161319.8,-2.4204,0,0.0,0.0
ema_50_200,25,0.0,reject_p75,off,pullback,regime_tighten,50pct_1R,10612,-25695.4,-2.4214,0,0.0,0.0
off,0,0.53,off,on,pullback,atr_3.0,50pct_1R,31754,-76929.99,-2.4227,10514,-20471.1,-1.947
off,25,0.0,off,on,immediate,regime_flip,off,60441,-146489.7,-2.4237,0,0.0,0.0
off,25,0.0,off,on,immediate,regime_flip,50pct_1R,60441,-146489.7,-2.4237,0,0.0,0.0
ema_20_50,25,0.0,reject_p75,on,immediate,regime_tighten,50pct_1R,12117,-29403.6,-2.4266,0,0.0,0.0
off,20,0.53,reject_p75,off,pullback,regime_tighten,off,14537,-35298.73,-2.4282,0,0.0,0.0
off,25,0.53,reject_p75,off,pullback,atr_3.0,off,9640,-23451.27,-2.4327,4070,-11447.77,-2.8127
off,20,0.0,reject_p75,on,immediate,regime_flip,off,78209,-190796.7,-2.4396,0,0.0,0.0
off,20,0.0,reject_p75,on,immediate,regime_flip,50pct_1R,78209,-190796.7,-2.4396,0,0.0,0.0
ema_50_200,25,0.0,off,off,pullback,regime_tighten,off,14520,-35442.7,-2.441,0,0.0,0.0
ema_50_200,20,0.0,off,off,pullback,atr_2.5,off,22000,-53764.59,-2.4438,0,0.0,0.0
off,20,0.53,reject_p75,on,immediate,atr_2.5,off,14182,-34665.86,-2.4444,5825,-15578.85,-2.6745
off,0,0.53,off,off,pullback,atr_2.5,off,33359,-81595.16,-2.446,11061,-26182.42,-2.3671
off,20,0.0,reject_p75,off,immediate,regime_flip,50pct_1R,84533,-206770.2,-2.446,0,0.0,0.0
off,20,0.0,reject_p75,off,immediate,regime_flip,off,84533,-206770.2,-2.446,0,0.0,0.0
ema_20_50,25,0.53,off,on,pullback,atr_2.5,50pct_1R,6303,-15447.42,-2.4508,3902,-11774.44,-3.0175
off,25,0.0,reject_p75,off,immediate,regime_flip,50pct_1R,56988,-139713.4,-2.4516,0,0.0,0.0
off,25,0.0,reject_p75,off,immediate,regime_flip,off,56988,-139713.4,-2.4516,0,0.0,0.0
ema_50_200,25,0.53,off,off,pullback,regime_tighten,off,5571,-13658.81,-2.4518,0,0.0,0.0
off,20,0.53,reject_p75,off,pullback,regime_tighten,50pct_1R,14537,-35693.15,-2.4553,0,0.0,0.0
ema_50_200,20,0.0,off,on,immediate,regime_flip,50pct_1R,21632,-53251.9,-2.4617,0,0.0,0.0
ema_50_200,20,0.0,off,on,immediate,regime_flip,off,21632,-53251.9,-2.4617,0,0.0,0.0
ema_50_200,20,0.0,reject_p75,on,pullback,atr_2.5,off,14975,-36892.05,-2.4636,0,0.0,0.0
off,25,0.0,reject_p75,on,immediate,regime_flip,off,51628,-127250.7,-2.4648,0,0.0,0.0
off,25,0.0,reject_p75,on,immediate,regime_flip,50pct_1R,51628,-127250.7,-2.4648,0,0.0,0.0
off,0,0.53,off,off,pullback,atr_3.0,50pct_1R,33359,-82346.34,-2.4685,11061,-23028.67,-2.082
ema_50_200,25,0.0,reject_p75,on,pullback,regime_tighten,off,9707,-23963.48,-2.4687,0,0.0,0.0
off,0,0.53,off,on,immediate,regime_flip,off,33300,-82341.9,-2.4727,0,0.0,0.0
off,0,0.53,off,on,immediate,regime_flip,50pct_1R,33300,-82341.9,-2.4727,0,0.0,0.0
ema_20_50,25,0.0,off,on,pullback,regime_tighten,50pct_1R,15659,-38789.83,-2.4772,0,0.0,0.0
ema_50_200,0,0.0,reject_p75,off,pullback,atr_2.5,off,25888,-64140.62,-2.4776,0,0.0,0.0
off,25,0.53,reject_p75,on,pullback,regime_tighten,50pct_1R,8828,-21929.11,-2.484,0,0.0,0.0
ema_50_200,0,0.0,off,on,immediate,regime_flip,50pct_1R,35113,-87226.2,-2.4842,0,0.0,0.0
ema_50_200,0,0.0,off,on,immediate,regime_flip,off,35113,-87226.2,-2.4842,0,0.0,0.0
off,20,0.53,reject_p75,on,pullback,atr_2.5,50pct_1R,13550,-33680.74,-2.4857,5554,-15246.39,-2.7451
off,0,0.0,reject_p75,on,pullback,regime_flip,50pct_1R,120234,-298887.9,-2.4859,0,0.0,0.0
off,0,0.0,reject_p75,on,pullback,regime_flip,off,120234,-298887.9,-2.4859,0,0.0,0.0
off,0,0.53,off,off,immediate,regime_flip,50pct_1R,34982,-87176.5,-2.492,0,0.0,0.0
off,0,0.53,off,off,immediate,regime_flip,off,34982,-87176.5,-2.492,0,0.0,0.0
ema_20_50,0,0.0,reject_p75,off,pullback,regime_tighten,off,29518,-73598.96,-2.4934,0,0.0,0.0
off,20,0.53,off,on,pullback,atr_3.0,50pct_1R,19525,-48713.35,-2.4949,6574,-17367.14,-2.6418
off,0,0.0,off,on,pullback,regime_flip,off,140348,-350294.1,-2.4959,0,0.0,0.0
off,0,0.0,off,on,pullback,regime_flip,50pct_1R,140348,-350294.1,-2.4959,0,0.0,0.0
off,0,0.53,reject_p75,on,immediate,regime_flip,off,23209,-58082.9,-2.5026,0,0.0,0.0
ema_50_200,0,0.0,off,on,pullback,atr_2.5,off,33321,-83388.84,-2.5026,0,0.0,0.0
off,0,0.53,reject_p75,on,immediate,regime_flip,50pct_1R,23209,-58082.9,-2.5026,0,0.0,0.0
ema_50_200,20,0.0,reject_p75,off,pullback,atr_2.5,50pct_1R,16060,-40203.78,-2.5033,0,0.0,0.0
ema_50_200,20,0.0,off,off,pullback,atr_3.0,off,22000,-55129.35,-2.5059,0,0.0,0.0
ema_50_200,20,0.0,off,off,immediate,regime_flip,50pct_1R,23172,-58070.4,-2.5061,0,0.0,0.0
ema_50_200,20,0.0,off,off,immediate,regime_flip,off,23172,-58070.4,-2.5061,0,0.0,0.0
ema_50_200,0,0.0,off,off,immediate,regime_flip,off,36939,-92604.7,-2.507,0,0.0,0.0
ema_50_200,0,0.0,off,off,immediate,regime_flip,50pct_1R,36939,-92604.7,-2.507,0,0.0,0.0
off,25,0.53,reject_p75,off,pullback,atr_3.0,50pct_1R,9640,-24171.07,-2.5074,4070,-10635.77,-2.6132
ema_50_200,20,0.0,reject_p75,off,immediate,atr_2.5,off,16904,-42465.63,-2.5122,0,0.0,0.0
ema_20_50,20,0.53,off,on,pullback,regime_tighten,off,9539,-24022.35,-2.5183,0,0.0,0.0
off,0,0.0,off,off,pullback,regime_flip,off,148316,-373572.5,-2.5188,0,0.0,0.0
off,0,0.0,off,off,pullback,regime_flip,50pct_1R,148316,-373572.5,-2.5188,0,0.0,0.0
off,0,0.53,reject_p75,on,pullback,atr_2.5,off,22150,-55799.35,-2.5192,8919,-25161.57,-2.8211
off,0,0.53,off,on,pullback,atr_3.0,off,31754,-80042.9,-2.5207,10514,-17537.86,-1.668
off,0,0.0,reject_p75,off,pullback,regime_flip,50pct_1R,127140,-320529.5,-2.5211,0,0.0,0.0
off,0,0.0,reject_p75,off,pullback,regime_flip,off,127140,-320529.5,-2.5211,0,0.0,0.0
ema_50_200,25,0.0,reject_p75,off,pullback,atr_2.5,off,10612,-26765.66,-2.5222,0,0.0,0.0
ema_50_200,25,0.53,reject_p75,off,pullback,regime_tighten,off,3986,-10066.41,-2.5254,0,0.0,0.0
off,25,0.53,reject_p75,off,pullback,atr_2.5,50pct_1R,9640,-24348.94,-2.5258,4070,-10156.76,-2.4955
off,0,0.53,reject_p75,off,pullback,atr_2.5,50pct_1R,23290,-58845.34,-2.5266,9396,-25606.52,-2.7253
ema_20_50,0,0.53,reject_p75,on,immediate,atr_2.5,50pct_1R,11233,-28394.92,-2.5278,4298,-10283.09,-2.3925
ema_20_50,25,0.0,reject_p75,off,immediate,regime_tighten,50pct_1R,13278,-33581.79,-2.5291,0,0.0,0.0
ema_20_50,25,0.53,reject_p75,off,immediate,atr_3.0,50pct_1R,5007,-12666.27,-2.5297,2085,-3413.38,-1.6371
off,20,0.53,reject_p75,off,immediate,atr_3.0,off,15216,-38589.01,-2.5361,6259,-19736.79,-3.1533
ema_50_200,25,0.53,off,off,pullback,regime_tighten,50pct_1R,5571,-14142.12,-2.5385,0,0.0,0.0
ema_20_50,25,0.0,off,on,pullback,regime_tighten,off,15659,-39783.87,-2.5406,0,0.0,0.0
off,0,0.53,off,off,pullback,atr_3.0,off,33359,-84846.68,-2.5434,11061,-20356.84,-1.8404
off,20,0.53,off,off,pullback,atr_3.0,50pct_1R,20939,-53278.19,-2.5444,7054,-20032.84,-2.8399
ema_20_50,25,0.0,off,off,pullback,regime_tighten,50pct_1R,17141,-43624.74,-2.5451,0,0.0,0.0
off,0,0.53,reject_p75,off,immediate,regime_flip,50pct_1R,24402,-62110.7,-2.5453,0,0.0,0.0
